Date,Afghanistan,Albania,Algeria
1989-01-31,268.69322447447445,275.9895567602041,205.2347538708735
1989-02-28,269.8798485985986,279.2375239158163,207.4180178206252
1989-03-31,278.1305055055055,283.14275749362247,210.8313431200701
1989-04-30,283.09184184184187,286.0030891262755,213.61106850715743
1989-05-31,288.2014514514515,287.6069834183673,217.2085159217061
1989-06-30,295.13795045045043,290.4693080357143,220.0806310254163
1989-07-31,296.88776276276275,294.44549186862247,221.2547472976921
1989-08-31,295.3868868868869,294.3704161352041,221.4045245398773
1989-09-30,291.4288663663664,291.11593191964283,219.55421048787613
1989-10-31,286.1273773773774,285.7790776466837,215.06713774466843
1989-11-30,279.0693506006006,281.4286910076531,211.1140446976337
1989-12-31,274.8953641141141,277.97823660714283,208.52556237218812
1990-01-31,271.96756131131133,276.242845184949,206.0615505404616
1990-02-28,272.80758883883885,279.9802694515306,208.43320917323985
1990-03-31,277.4450075075075,283.0870137117347,211.13885845749343
1990-04-30,284.7033283283283,284.36947943239795,214.11013730645632
1990-05-31,292.80127002002,288.7970742984694,217.00157026000585
1990-06-30,296.1158033033033,292.2326211734694,221.24306164183463
1990-07-31,297.68728103103103,295.46059869260205,221.1366491381829
1990-08-31,297.33821321321324,294.8853635204082,220.56058282208588
1990-09-30,293.0751376376376,290.7282565369898,219.7449240432369
1990-10-31,285.5892767767768,288.5570990114796,216.24788197487584
1990-11-30,280.4867054554555,283.7542849170918,210.42696465089105
1990-12-31,272.9916791791792,277.0985730229592,206.0166885772714
1991-01-31,270.5070695695696,276.0997289540816,205.5067557697926
1991-02-28,271.6575325325325,275.98046875,207.09100204498975
1991-03-31,277.5735735735736,282.6356823979592,210.72566096990943
1991-04-30,283.8048048048048,283.0034877232143,213.12273590417763
1991-05-31,289.6460835835836,285.6981425382653,215.57602979842244
1991-06-30,294.90521771771773,292.5890864158163,220.2405784399649
1991-07-31,297.1388888888889,294.2936463647959,221.7634567630733
1991-08-31,296.15634384384384,294.34927056760205,221.02696830265847
1991-09-30,291.5232732732733,292.1145169005102,218.8668017820625
1991-10-31,284.11905655655653,287.0228794642857,214.7698108384458
1991-11-30,278.8724974974975,282.6043128188776,209.6714504820333
1991-12-31,275.0711336336336,273.9695471938776,205.79279871457783
1992-01-31,271.6013513513513,275.919602997449,204.82778264680104
1992-02-29,272.49205455455456,275.9444355867347,207.95159582237804
1992-03-31,275.70683183183183,280.1617107780612,209.7978746713409
1992-04-30,283.03184434434434,284.23891900510205,212.773444347064
1992-05-31,287.8323323323323,288.73443478954084,215.9254674262343
1992-06-30,294.9511699199199,291.4603595344388,219.60652205667543
1992-07-31,297.010228978979,294.2420878507653,220.8313431200701
1992-08-31,295.095533033033,297.095384247449,220.71990943616711
1992-09-30,290.4008383383384,291.78266501913265,218.3018185801928
1992-10-31,284.7581956956957,288.53714923469386,215.0247042068361
1992-11-30,280.3731856856857,283.0461575255102,209.34943762781185
1992-12-31,274.9125375375376,276.7808912627551,206.9718448729185
1993-01-31,268.7433058058058,275.4497767857143,204.98530163599185
1993-02-28,275.0810810810811,275.5310507015306,207.1304776511832
1993-03-31,276.38275775775776,278.71986607142856,210.04794770669
1993-04-30,284.9469782282282,284.219068877551,214.0261831726556
1993-05-31,291.21146146146145,289.3737244897959,217.45327563540755
1993-06-30,295.47156531531533,293.3363360969388,221.69595384165936
1993-07-31,296.8963963963964,294.6399075255102,221.68424992696464
1993-08-31,295.1236861861862,296.25386639030614,221.14879126497223
1993-09-30,292.3724349349349,291.3510044642857,219.117952088811
1993-10-31,283.4555492992993,288.9389748086735,215.476884312007
1993-11-30,279.7104291791792,281.31078603316325,210.87280893952672
1993-12-31,274.85920295295296,279.98148517219386,206.4591732398481
1994-01-31,272.1241866866867,278.8830317283163,205.961473853345
1994-02-28,271.57729604604606,278.1809630102041,207.47651913526147
1994-03-31,279.7692692692693,282.5990513392857,211.6702088810985
1994-04-30,283.22860360360363,284.52824059311223,212.8840563832895
1994-05-31,291.23952077077075,289.9026028380102,218.2271216768916
1994-06-30,296.3315815815816,292.62085459183675,220.7589103125913
1994-07-31,298.0155155155155,296.2729990433673,221.42221735319896
1994-08-31,297.77683933933935,296.8469387755102,221.62160385626643
1994-09-30,289.0721346346346,293.70063376913265,218.71830265848672
1994-10-31,284.00278403403405,287.8845663265306,214.73935509786736
1994-11-30,282.4893018018018,282.5225605867347,210.5517455448437
1994-12-31,272.7780905905906,277.8681839923469,206.1416703184341
1995-01-31,271.3460022522523,276.5394610969388,204.73895340344723
1995-02-28,273.5658783783784,280.1802455357143,208.43339176161265
1995-03-31,276.8147522522523,279.9218949298469,210.2554776511832
1995-04-30,284.6480543043043,282.86411830357144,213.1641469471224
1995-05-31,290.4640578078078,287.9787946428572,218.21329973707276
1995-06-30,295.49124124124126,292.4392338966837,220.60900525854512
1995-07-31,298.724537037037,295.9303651147959,221.98340271691495
1995-08-31,297.3836961961962,293.58872767857144,221.8949386503068
1995-09-30,291.66016016016016,290.0616230867347,219.30032135553608
1995-10-31,285.3142517517517,286.54858896683675,214.38135407537249
1995-11-30,280.21853103103103,279.2856544961735,210.3722794332457
1995-12-31,271.421483983984,280.3230229591837,207.98519208296813
1996-01-31,268.98823823823824,277.8599529655612,207.8114592462752
1996-02-29,274.3336461461461,276.8403021364796,207.71786444639204
1996-03-31,278.4886136136136,277.74916294642856,210.99852103418056
